section,page,block_id,caption,caption_source,file
specifications,429,,FIG. 1 Test Specimen and Method of Making Shear Test of Clad,printed,figures/sa_263_fig_1.png
specifications,429,,FIG. 2 Standard Rectangular Tension Test Specimen with 8,printed,figures/sa_263_fig_2.png
specifications,429,,FIG. 3 Standard Round Tension Test Specimen with 2,printed,figures/sa_263_fig_3.png
specifications,435,,FIG. 1 Test Specimen and Method of Making Shear Test of Clad,printed,figures/sa_264_fig_1.png
specifications,435,,FIG. 2 Standard Rectangular Tension Test Specimen with 8,printed,figures/sa_264_fig_2.png
specifications,436,,FIG. 3 Standard Round Tension Test Specimen with 2,printed,figures/sa_264_fig_3.png
specifications,441,,FIG. 1 Test Specimen and Method of Making Shear Test of Clad,printed,figures/sa_265_fig_1.png
specifications,441,,FIG. 2 Standard Rectangular Test Specimens with 8,declared,figures/sa_265_fig_2.png
specifications,442,,FIG. 3 Standard Round Tension Tests Specimen with 2,printed,figures/sa_265_fig_3.png
specifications,473,,FIG. 1 Suitable Design and Dimensions for Mold for Separately Cast Cylindrical Test Bars for Gray Iron,printed,figures/sa_278_sa_278m_fig_1.png
specifications,474,,FIG. 2 Tension-Test Specimens,printed,figures/sa_278_sa_278m_fig_2.png
specifications,175,,FIG. 1 BEND TEST OF RIVET,printed,figures/sa_31_fig_1.png
specifications,176,,FIG. 2 FLATTENING TEST OF RIVET,printed,figures/sa_31_fig_2.png
specifications,584,,FIG. 1 Separately Forged Test Bar for Forgings with T # 2 in. [50 mm],printed,figures/sa_350_sa_350m_fig_1.png
specifications,586,,FIG. 2 Separately Forged Test Bar for Forgings with T > 2 in. [50 mm] and Not Quenched and Tempered,printed,figures/sa_350_sa_350m_fig_2.png
specifications,586,,FIG. 3 Separately Forged Test Blank for Forgings with T > 2 in. [50 mm] and Quenched and Tempered or Quenched and Precipitation,printed,figures/sa_350_sa_350m_fig_3.png
specifications,587,,FIG. 4 Separately Forged Test Bar for Forgings with T > 2 in. [50 mm] and W/T Ratio < 2 and Quenched and Tempered or Quenched,printed,figures/sa_350_sa_350m_fig_4.png
specifications,638,,FIG. 1 Relation of Test Coupons and Test Specimens to Rolling,declared,figures/sa_370_fig_1.png
specifications,656,,FIG. 10 Charpy (Simple,printed,figures/sa_370_fig_10.png
specifications,657,,FIG. 11 Charpy (Simple Beam) Impact Test Specimens,printed,figures/sa_370_fig_11.png
specifications,658,,FIG. 12 Tubular Impact Specimen Containing Original OD Surface,printed,figures/sa_370_fig_12.png
specifications,658,,FIG. 13 Determination of Percent Shear Fracture,printed,figures/sa_370_fig_13.png
specifications,659,,FIG. 14 Fracture Appearance Charts and Percent Shear Fracture Comparator,printed,figures/sa_370_fig_14.png
specifications,660,,FIG. 15 Halves of Broken Charpy V,printed,figures/sa_370_fig_15.png
specifications,660,,FIG. 16 Lateral Expansion Gauge for Charpy Impact Specimens,printed,figures/sa_370_fig_16.png
specifications,661,,FIG. 17 Assembly and Details for Lateral Expansion Gauge,printed,figures/sa_370_fig_17.png
specifications,639,,FIG. 2 Location of Longitudinal Tension Test Specimens in Rings Cut From Tubular Products,printed,figures/sa_370_fig_2.png
specifications,644,,FIG. 5 Suggested Types of Ends for Standard Round Tension Test Specimens,printed,figures/sa_370_fig_5.png
specifications,644,,FIG. 6 Standard Tension Test Specimens for Cast Iron,printed,figures/sa_370_fig_6.png
specifications,647,,FIG. 7 Stress-strain Diagram Showing Yield Point Corresponding,printed,figures/sa_370_fig_7.png
specifications,647,,FIG. 8 Stress-strain Diagram Showing Yield Point or Yield,printed,figures/sa_370_fig_8.png
specifications,648,,FIG. 9 Stress-strain Diagram for Determination of Yield Strength,printed,figures/sa_370_fig_9.png
specifications,712,,FIG. 1 SUGGESTED CLASSIFICATION OF GRAPHITE FORM IN DUCTILE CAST IRON,printed,figures/sa_395_sa_395m_fig_1.png
specifications,713,,FIG. 2 KEEL BLOCK FOR TEST COUPONS,printed,figures/sa_395_sa_395m_fig_2.png
specifications,713,,FIG. 3 Y-BLOCKS FOR TEST COUPONS,printed,figures/sa_395_sa_395m_fig_3.png
specifications,714,,FIG. 4 MOLD FOR MODIFIED KEEL BLOCK,printed,figures/sa_395_sa_395m_fig_4.png
specifications,715,,FIG. 5 SECTIONING PROCEDURE FOR Y-BLOCKS,printed,figures/sa_395_sa_395m_fig_5.png
specifications,716,,FIG. 7 TEST COUPONS FOR MICROSCOPICAL EXAMINATION OF DUCTILE IRON,printed,figures/sa_395_sa_395m_fig_7.png
specifications,749,,FIG. 1 Location of Test Specimens,printed,figures/sa_414_sa_414m_fig_1.png
specifications,777,,FIG. 1,printed,figures/sa_439_sa_439m_fig_1.png
specifications,778,,FIG. 2 Keel Block for Test Coupons,printed,figures/sa_439_sa_439m_fig_2.png
specifications,779,,FIG. 3 Mold for Modified Keel Block,printed,figures/sa_439_sa_439m_fig_3.png
specifications,780,,FIG. 4 Sectioning Procedure for,declared,figures/sa_439_sa_439m_fig_4.png
specifications,781,,FIG. 5 Standard Round Tension Test Specimen With 2,printed,figures/sa_439_sa_439m_fig_5.png
specifications,187,,FIG. 1 TENSION TEST SPECIMEN,printed,figures/sa_47_sa_47m_fig_1.png
specifications,187,,FIG. 2 ALTERNATIVE UNMACHINED TENSION TEST SPECIMEN,printed,figures/sa_47_sa_47m_fig_2.png
specifications,188,,FIG. 3 MACHINED TENSION TEST SPECIMEN,printed,figures/sa_47_sa_47m_fig_3.png
specifications,197,,FIG. 1 Calibration Standards,printed,figures/sa_53_sa_53m_fig_1.png
