section,page,block_id,caption,caption_source,file
specifications,811,,FIG. A1.1 Representation of Bake Hardening Index,printed,figures/sa_1008_sa_1008m_fig_a1_1.png
specifications,65,,FIG. 1 Combination Smooth-Notch Stress-Rupture Test Specimen,printed,figures/sa_453_sa_453m_fig_1.png
specifications,75,,FIG. 1,printed,figures/sa_476_sa_476m_fig_1.png
specifications,75,,FIG. 2 KEEL BLOCK FOR TEST COUPONS,printed,figures/sa_476_sa_476m_fig_2.png
specifications,75,,FIG. 3 STANDARD ROUND TENSION TEST SPECIMEN,printed,figures/sa_476_sa_476m_fig_3.png
specifications,76,,FIG. 4 SECTIONING PROCEDURE FOR,printed,figures/sa_476_sa_476m_fig_4.png
specifications,129,,FIG. 1 Camber or Bow Tolerances,printed,figures/sa_484_sa_484m_fig_1.png
specifications,129,,FIG. 2 Transverse Flatness Tolerances,printed,figures/sa_484_sa_484m_fig_2.png
specifications,223,,FIG. S5.1 Calculation of Percent Fibrous Area,declared,figures/sa_540_sa_540m_fig_s5_1.png
specifications,237,,FIG. S1.1 Transition Temperature Curves Before and After Step,printed,figures/sa_542_sa_542m_fig_s1_1.png
specifications,251,,FIG. 1 Bent Portion of U-Tube,printed,figures/sa_556_sa_556m_fig_1.png
specifications,307,,FIG. X4.1 Forming Limit Curve,printed,figures/sa_568_sa_568m_fig_x4_1.png
specifications,308,,FIG. X4.2 Major and Minor Strain Axes,declared,figures/sa_568_sa_568m_fig_x4_2.png
specifications,308,,FIG. X4.3 Graph of Major Strains and Critical Major Strains and,declared,figures/sa_568_sa_568m_fig_x4_3.png
specifications,309,,FIG. X4.4 Formed Panel and Cross Section increase.,printed,figures/sa_568_sa_568m_fig_x4_4.png
specifications,310,,FIG. X5.1 Representation of Sheet Sample With Edge Waves (a),printed,figures/sa_568_sa_568m_fig_x5_1.png
specifications,322,,FIG. 1 DEFINITION OF PARTIAL DECARBURIZATION LIMITS,printed,figures/sa_574_fig_1.png
specifications,323,,FIG. 2 SOCKET DISCONTINUITY LOCATION AND LIMITS,printed,figures/sa_574_fig_2.png
specifications,323,,FIG. 3 HEAD AND BODY DISCONTINUITY LOCATION AND LIMITS,printed,figures/sa_574_fig_3.png
specifications,345,,FIG. 1 ULTRASONIC STANDARD REFERENCE BLOCK,printed,figures/sa_609_sa_609m_fig_1.png
specifications,346,,FIG. 2 ULTRASONIC STANDARD REFERENCE BLOCK FOR DUAL-SEARCH UNIT CALIBRATION,printed,figures/sa_609_sa_609m_fig_2.png
specifications,346,,FIG. 3 CALIBRATION BLOCKS,printed,figures/sa_609_sa_609m_fig_3.png
