section,page,block_id,caption,caption_source,file
appendices,1303,,Figure II-400-1,printed,figures/mandatory_appendix_ii_figure_ii_400_1.png
specifications,791,,FIG. S50.1 Weld Test Bar (As Cast),printed,figures/sa_494_sa_494m_fig_s50_1.png
specifications,792,,FIG. S50.2 Weld Test Bar (As Cast),printed,figures/sa_494_sa_494m_fig_s50_2.png
specifications,792,,FIG. S50.3 X-Weld Test,printed,figures/sa_494_sa_494m_fig_s50_3.png
specifications,120,,FIG. 1 Tension Test Specimen Casting – (Inch Pounds),printed,figures/sb_108_sb_108m_fig_1.png
specifications,121,,FIG. 2 Tension Test Specimen Casting – [Metric],printed,figures/sb_108_sb_108m_fig_2.png
specifications,122,,FIG. 3 Tension Test Specimen Casting (Cross Section) – (Inch Pounds),printed,figures/sb_108_sb_108m_fig_3.png
specifications,123,,FIG. 4 Tension Test Specimen Casting Cross Section – [Metric],printed,figures/sb_108_sb_108m_fig_4.png
specifications,234,,FIG. S1.1 Bent Portion of U-Tube,printed,figures/sb_163_fig_s1_1.png
specifications,316,,FIG. 1 Rounded Corners,printed,figures/sb_187_sb_187m_fig_1.png
specifications,317,,FIG. 2 Rounded Edge,printed,figures/sb_187_sb_187m_fig_2.png
specifications,317,,FIG. 3 Full Rounded Edge,printed,figures/sb_187_sb_187m_fig_3.png
specifications,371,,FIG. 1 Double Flare,printed,figures/sb_210_fig_1.png
specifications,372,,FIG. 2 Single Flare,printed,figures/sb_210_fig_2.png
specifications,483,,FIG. 1 Rounded Corners,printed,figures/sb_248_fig_1.png
specifications,483,,FIG. 2 Rounded Edge,printed,figures/sb_248_fig_2.png
specifications,483,,FIG. 3 Full Rounded Edge,printed,figures/sb_248_fig_3.png
specifications,498,,FIG. 1 Rounded Corners,printed,figures/sb_249_sb_249m_fig_1.png
specifications,498,,FIG. 2 Rounded Edge,printed,figures/sb_249_sb_249m_fig_2.png
specifications,498,,FIG. 3 Full Rounded Edge,printed,figures/sb_249_sb_249m_fig_3.png
specifications,59,,FIG. 1 Tension Test Specimen Casting,printed,figures/sb_26_sb_26m_fig_1.png
specifications,59,,FIG. 2 Tension Test Specimen Casting [Metric],printed,figures/sb_26_sb_26m_fig_2.png
specifications,548,,FIG. X2.1 Mismatch at Die Parting Line,declared,figures/sb_283_sb_283m_fig_x2_1.png
specifications,548,,FIG. X2.2 Deviation from Flatness,printed,figures/sb_283_sb_283m_fig_x2_2.png
specifications,548,,FIG. X2.3 Ejector Marks,declared,figures/sb_283_sb_283m_fig_x2_3.png
specifications,549,,FIG. X2.4 Flash Projection,printed,figures/sb_283_sb_283m_fig_x2_4.png
specifications,549,,FIG. X2.5 Area,printed,figures/sb_283_sb_283m_fig_x2_5.png
specifications,549,,FIG. X2.6 Die Parting Line,declared,figures/sb_283_sb_283m_fig_x2_6.png
specifications,550,,FIG. X2.7 Shorter Leg Example for Angular Tolerances,printed,figures/sb_283_sb_283m_fig_x2_7.png
specifications,552,,FIG. X4.1 Draft Angles in Example Forging Die,printed,figures/sb_283_sb_283m_fig_x4_1.png
specifications,605,,FIG. 1 Enhanced Tube Nomenclature,printed,figures/sb_359_sb_359m_fig_1.png
specifications,605,,FIG. 2 Inside Enhanced Tube Nomenclature (Internal Groove Tube),declared,figures/sb_359_sb_359m_fig_2.png
specifications,641,,FIG. 1 Cast Block for Weldability Test,printed,figures/sb_369_fig_1.png
specifications,641,,FIG. 2 Weldability Test Block,printed,figures/sb_369_fig_2.png
specifications,662,,FIG. 1 Centering of U-Bend in Heavy Gage Section of Tube,declared,figures/sb_395_sb_395m_fig_1.png
specifications,663,,FIG. 2 Squareness of Cut,printed,figures/sb_395_sb_395m_fig_2.png
specifications,873,,FIG. 1 STAMP FOR IDENTIFYING ACCEPTABLE PLATE,printed,figures/sb_548_fig_1.png
specifications,1026,,Fig. 1 Spot Marking for Coiled Sheet,declared,figures/sb_666_sb_666m_fig_1.png
specifications,1026,,FIG. 1 M Spot Marking for Coiled Sheet,printed,figures/sb_666_sb_666m_fig_1_m.png
specifications,1027,,"FIG 2 Continuous Marking for Plate Through 0.375 in. and Flat Sheet 0.012 in. and over (for O Temper, 0.020 in. and over) in Thickness, 6 Through 60 in. in Width, and 36 Through 200 in. in Length",printed,figures/sb_666_sb_666m_fig_2.png
specifications,1027,,"FIG. 2 M Continuous Marking for Plate Through 10 mm and Flat Sheet over 0.30 mm (for O Temper, over 0.50 mm) in Thickness, over 150 Through 1500 mm in Width, and 1000 Through 5000 mm in Length",printed,figures/sb_666_sb_666m_fig_2_m.png
specifications,1028,,"FIG 3 Continuous Marking for Plate Through 0.375 in. and Flat Sheet 0.012 in. and over (for O Temper, 0.020 in. and over) in Thickness, 6 Through 60 in. in Width, and 36 Through 200 in. in Length.",printed,figures/sb_666_sb_666m_fig_3.png
specifications,1028,,"FIG. 3 M Continuous Marking for Plate Through 10 mm and Flat Sheet over 0.30 mm (for O Temper, over 0.50 mm) in Thickness, over 150 Through 1500 mm in Width, and 1000 Through 5000 mm in Length.",printed,figures/sb_666_sb_666m_fig_3_m.png
specifications,1029,,"FIG 4 Perimeter Marking for Plate over 0.375 in. in Thickness, Flat Sheet and Plate over 60 in. in Width or over 200 in. in Length.",printed,figures/sb_666_sb_666m_fig_4.png
specifications,1029,,"FIG. 4 M Perimeter Marking for Plate over 10 mm in Thickness, Flat Sheet and Plate over 1500 mm in Width or over 5000 mm in Length.",printed,figures/sb_666_sb_666m_fig_4_m.png
specifications,1030,,"FIG 5 Continuous Marking for Rod, Bar, Profiles, and Tube in Straight Lengths",printed,figures/sb_666_sb_666m_fig_5.png
specifications,1030,,"FIG. 5 M Continuous Marking for Rod, Bar, Profiles, and Tube in Straight Lengths",printed,figures/sb_666_sb_666m_fig_5_m.png
specifications,1030,,FIG 6 Spot Marking for Structural Profiles,printed,figures/sb_666_sb_666m_fig_6.png
specifications,1030,,FIG. 6 M Spot Marking for Structural Profiles,printed,figures/sb_666_sb_666m_fig_6_m.png
specifications,1144,,FIG. 1 GUIDED-BEND TEST JIG,printed,figures/sb_804_fig_1.png
specifications,1145,,FIG. 2 TRANSVERSE FACE- AND ROOT-BEND TEST SPECIMEN,printed,figures/sb_804_fig_2.png
specifications,1145,,FIG. 3 REDUCED-SECTION TENSION TEST SPECIMEN,printed,figures/sb_804_fig_3.png
specifications,1146,,FIG. 4 ALTERNATIVE REDUCED-SECTION TENSION TEST SPECIMEN,printed,figures/sb_804_fig_4.png
specifications,1224,,"FIG. 1 Examples of Microstructures with Varied Degrees of Grain Boundary Beta-phase Continuity, for a Partially Recrystallized Grain Structure.",printed,figures/sb_928_sb_928m_fig_1.png
specifications,1225,,"FIG. 2 Examples of Microstructures with Varied Degrees of Grain Boundary Beta-phase Continuity, for a Fully Un-recrystallized Grain Structure.",printed,figures/sb_928_sb_928m_fig_2.png
specifications,1226,,"FIG. 3 Longitudinal Section of the Corroded G67 Sample, Showing Rolling Direction, Plane to be Polished, and Surface to be Metallographically Examined for Evidence of Intergranular Corrosion.",printed,figures/sb_928_sb_928m_fig_3.png
specifications,1227,,"FIG. 4 Examples of the corrosion morphology produced by Test Method G67, for varying degrees of sensitization, from pitting and general corrosion to intergranular corrosion. Metallography is in the as-polished condition.",printed,figures/sb_928_sb_928m_fig_4.png
specifications,1228,,"FIG. 5 Longitudinal Section Cut from Product, Showing Rolling Direction and Plane to be Metallographically Prepared for Making a Reference Photomicrograph (see 9.4.1) and Metallographic Lot Release Testing (see 9.6).",printed,figures/sb_928_sb_928m_fig_5.png
specifications,1234,,FIG. 1 Outside Diameter Enhanced Tube Nomenclature,declared,figures/sb_956_fig_1.png
specifications,1235,,FIG. 2 Outside Diameter and Inside Diameter Enhanced Tube Nomenclature,printed,figures/sb_956_fig_2.png
specifications,1235,,FIG. 3 Inside Diameter Enhanced Tube Nomenclature,printed,figures/sb_956_fig_3.png
specifications,1274,,FIG. 1 Head and Body Discontinuity Location and Limits (See 8.3),printed,figures/sf_468_fig_1.png
specifications,1275,,FIG. 2 Socket Discontinuity location and Limits,printed,figures/sf_468_fig_2.png
specifications,1276,,FIG. 3 Thread Discontinuities,declared,figures/sf_468_fig_3.png
specifications,1276,,FIG. 4 Comparison of Overall Length Before and After Fracture,printed,figures/sf_468_fig_4.png
