section,page,block_id,caption,caption_source,file
specifications,76,,"Figure 1A—Dimensions of 4 in, 8 in, 12 in, and 14 in [100 mm, 200 mm, 300 mm, and 350 mm] Spools",printed,figures/sfa_5_02_sfa_5_02m_figure_1a.png
specifications,77,,"Figure 1B—Dimensions of 22 in, 24 in, and 30 in [560 mm, 610 mm, and 760 mm] Spools (Reels)",printed,figures/sfa_5_02_sfa_5_02m_figure_1b.png
specifications,78,,Figure 1C—Dimensions of 13-1/2 in [340 mm] Spools (for Al and Mg Alloys Only),printed,figures/sfa_5_02_sfa_5_02m_figure_1c.png
specifications,79,,Figure 1D—Dimensions of Basket Rims and Basket Spools,printed,figures/sfa_5_02_sfa_5_02m_figure_1d.png
specifications,400,,Figure 1—A5.10/A5.10M Classification System,printed,figures/sfa_5_10_sfa_5_10m_figure_1.png
specifications,401,,Figure 2—Groove Weld Test Assembly for Radiographic Test,declared,figures/sfa_5_10_sfa_5_10m_figure_2.png
specifications,402,,Figure 3—Groove Weld Test Assembly for Weld Metal Tension Properties,printed,figures/sfa_5_10_sfa_5_10m_figure_3.png
specifications,403,,Figure 4A—Radiographic Acceptance Standards for 3/16 in [5 mm] and 1/4 in [6 mm] Thick Test Assemblies—Overhead Welding Position,printed,figures/sfa_5_10_sfa_5_10m_figure_4a.png
specifications,404,,Figure 4B—Radiographic Acceptance Standards for 3/8 in [10 mm] Thick Test Assemblies—Overhead Welding Position,printed,figures/sfa_5_10_sfa_5_10m_figure_4b.png
specifications,405,,Figure 5—Radiographic Acceptance Standard for Test Assemblies—Flat Welding Position,printed,figures/sfa_5_10_sfa_5_10m_figure_5.png
specifications,437,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal,printed,figures/sfa_5_11_sfa_5_11m_figure_1.png
specifications,438,,Figure 2—Groove Weld Test Assembly for Mechanical Properties and Soundness,declared,figures/sfa_5_11_sfa_5_11m_figure_2.png
specifications,439,,Figure 3—Groove Weld Test Assembly for Radiographic Soundness Test,declared,figures/sfa_5_11_sfa_5_11m_figure_3.png
specifications,442,,Figure 4—Radiographic Standards for 1/8 in [3 mm] Test Assembly,declared,figures/sfa_5_11_sfa_5_11m_figure_4.png
specifications,443,,Figure 5—Radiographic Standards for 1/4 in [6 mm] Test Assembly,declared,figures/sfa_5_11_sfa_5_11m_figure_5.png
specifications,444,,Figure 6—Radiographic Standards for 3/8 in [10 mm] Test Assembly,declared,figures/sfa_5_11_sfa_5_11m_figure_6.png
specifications,445,,Figure 7—Radiographic Standards for 1/2 in [12 mm] Test Assembly,declared,figures/sfa_5_11_sfa_5_11m_figure_7.png
specifications,446,,Figure 8—Radiographic Standards for 3/4 in [20 mm] Test Assembly,declared,figures/sfa_5_11_sfa_5_11m_figure_8.png
specifications,472,,Figure 1—Measurement Procedure for Straightness,printed,figures/sfa_5_12_sfa_5_12m_figure_1.png
specifications,502,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal,printed,figures/sfa_5_13_sfa_5_13m_figure_1.png
specifications,557,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal,printed,figures/sfa_5_15_figure_1.png
specifications,564,,Figure 2—Dimensions of 12 and 14 in (300 and 360 mm) Spools,printed,figures/sfa_5_15_figure_2.png
specifications,565,,Figure 3—Dimensions of 30 in (760 mm) Spools,printed,figures/sfa_5_15_figure_3.png
specifications,581,,Figure 1—Classification Systems,printed,figures/sfa_5_16_sfa_5_16m_figure_1.png
specifications,603,,Figure 1—A5.17M Classification System for U.S. Customary Units,printed,figures/sfa_5_17_sfa_5_17m_figure_1.png
specifications,604,,Figure 1M—A5.17M Classification System for the International System of Units (SI),printed,figures/sfa_5_17_sfa_5_17m_figure_1m.png
specifications,608,,Figure 2—Weld Pad for Chemical Analysis of Weld Metal from Composite Electrodes,printed,figures/sfa_5_17_sfa_5_17m_figure_2.png
specifications,609,,Figure 3—Groove Weld Test Assembly,printed,figures/sfa_5_17_sfa_5_17m_figure_3.png
specifications,613,,Figure 4—Radiographic Standards for Rounded Indications,declared,figures/sfa_5_17_sfa_5_17m_figure_4.png
specifications,650,,Figure 1—A5.18/A5.18M Classification System,printed,figures/sfa_5_18_sfa_5_18m_figure_1.png
specifications,651,,Figure 2—Groove Weld Test Assembly for Mechanical Properties and Soundness of Weld Metal,printed,figures/sfa_5_18_sfa_5_18m_figure_2.png
specifications,652,,Figure 3—Weld Test Assembly for Transverse Tension and Longitudinal Guided Bend Tests,printed,figures/sfa_5_18_sfa_5_18m_figure_3.png
specifications,653,,Figure 4—Pad for Chemical Analysis of Weld Metal from Composite Electrodes,printed,figures/sfa_5_18_sfa_5_18m_figure_4.png
specifications,654,,Figure 5—Radiographic Acceptance Standards,declared,figures/sfa_5_18_sfa_5_18m_figure_5.png
specifications,108,,Figure 1—Order of Electrode Mandatory and Optional Supplemental Designators,printed,figures/sfa_5_1_sfa_5_1m_figure_1.png
specifications,109,,Figure 2—Pad for Chemical Analysis of Undiluted Weld Metal,printed,figures/sfa_5_1_sfa_5_1m_figure_2.png
specifications,110,,Figure 3—Groove Weld Test Assembly for Mechanical Properties and Soundness of Weld Metal Produced by Using All Electrode Classifications Except E6022 [E4322] and E7018M [E4918M] Electrodes,printed,figures/sfa_5_1_sfa_5_1m_figure_3.png
specifications,111,,Figure 3 (Continued)—Groove Weld Test Assembly for Mechanical Properties and Soundness of Weld Metal Produced by Using All Electrode Classifications Except E6022 [E4322] and E7018M [E4918M] Electrodes,printed,figures/sfa_5_1_sfa_5_1m_figure_3_continued.png
specifications,112,,Figure 4—Fillet Weld Test Assembly for Usability of the Electrode,printed,figures/sfa_5_1_sfa_5_1m_figure_4.png
specifications,113,,Figure 5—Groove Weld Test Assembly for Mechanical Properties and Soundness of Weld Metal Produced by Using E7018M [E4918M] Electrodes,printed,figures/sfa_5_1_sfa_5_1m_figure_5.png
specifications,114,,Figure 6—Test Assembly for Transverse Tension and Longitudinal Guided Bend Tests for Welds Made with E6022 [E4322] Electrodes,printed,figures/sfa_5_1_sfa_5_1m_figure_6.png
specifications,115,,Figure 7—Welding Positions for Fillet Weld Test Assemblies,printed,figures/sfa_5_1_sfa_5_1m_figure_7.png
specifications,116,,Figure 8A—Radiographic Acceptance Standards for Rounded Indications (Grade 1),declared,figures/sfa_5_1_sfa_5_1m_figure_8a.png
specifications,117,,Figure 8B—Radiographic Acceptance Standards for Rounded Indications (Grade 2),declared,figures/sfa_5_1_sfa_5_1m_figure_8b.png
specifications,118,,Figure 8C—Radiographic Acceptance Standards for Rounded Indications (Grade 3),printed,figures/sfa_5_1_sfa_5_1m_figure_8c.png
specifications,686,,Figure 1—A5.20/A5.20M Classification System,printed,figures/sfa_5_20_sfa_5_20m_figure_1.png
specifications,687,,Figure 2—Test Assembly for Mechanical Properties and Soundness of Weld Metal from Multiple-Pass Electrodes,printed,figures/sfa_5_20_sfa_5_20m_figure_2.png
specifications,688,,Figure 3—Test Assembly for Transverse Tension and Longitudinal Guided Bend Tests for Welds Made with Single-Pass Electrodes,printed,figures/sfa_5_20_sfa_5_20m_figure_3.png
specifications,689,,Figure 4—Pad for Chemical Analysis of Deposited Weld Metal,printed,figures/sfa_5_20_sfa_5_20m_figure_4.png
specifications,690,,Figure 5—Fillet Weld Test Assembly and Positions,declared,figures/sfa_5_20_sfa_5_20m_figure_5.png
specifications,691,,Figure 6—Radiographic Standards for Test Assemblies in Figure 2,declared,figures/sfa_5_20_sfa_5_20m_figure_6.png
specifications,718,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal,printed,figures/sfa_5_21_sfa_5_21m_figure_1.png
specifications,751,,Figure 1—Pad for Chemical Analysis of Undiluted Weld Metal,declared,figures/sfa_5_22_sfa_5_22m_figure_1.png
specifications,752,,"Figure 2—Groove Weld Test Assembly for Tension, Impact, and Radiographic Tests",declared,figures/sfa_5_22_sfa_5_22m_figure_2.png
specifications,753,,Figure 3A—Groove Weld Test Assembly for Face Bend Test,printed,figures/sfa_5_22_sfa_5_22m_figure_3a.png
specifications,754,,Figure 3B—Groove Weld Test Assembly for Root Bend Test,printed,figures/sfa_5_22_sfa_5_22m_figure_3b.png
specifications,755,,Figure 4—Preparation of Fillet Weld Test Specimen,declared,figures/sfa_5_22_sfa_5_22m_figure_4.png
specifications,761,,Figure 5A—Rounded Indication Standards for Radiographic Test—1/2 in [12 mm] Plate,declared,figures/sfa_5_22_sfa_5_22m_figure_5a.png
specifications,762,,Figure 5B—Rounded Indication Standards for Radiographic Test—3/4 in [20 mm] Plate,declared,figures/sfa_5_22_sfa_5_22m_figure_5b.png
specifications,763,,Figure 6—Orientation and Location of Impact Test Specimen,declared,figures/sfa_5_22_sfa_5_22m_figure_6.png
specifications,767,,Figure A.1—Classification Systems,printed,figures/sfa_5_22_sfa_5_22m_figure_a_1.png
specifications,775,,Figure A.2—WRC-1992 Diagram for Stainless Steel Weld Metal,printed,figures/sfa_5_22_sfa_5_22m_figure_a_2.png
specifications,820,,Figure 1—A5.23 Multiple-Pass Classification System for U.S. Customary Units,printed,figures/sfa_5_23_sfa_5_23m_figure_1.png
specifications,821,,Figure 1M—A5.23M Multiple-Pass Classification System for the International System of Units (SI),printed,figures/sfa_5_23_sfa_5_23m_figure_1m.png
specifications,822,,Figure 2—A5.23 Two-Run Classification System for U.S. Customary Units,declared,figures/sfa_5_23_sfa_5_23m_figure_2.png
specifications,823,,Figure 2M—A5.23M Two-Run Classification System for International System of Units (SI),declared,figures/sfa_5_23_sfa_5_23m_figure_2m.png
specifications,824,,Figure 3—Weld Pad for Chemical Analysis of Weld Metal,printed,figures/sfa_5_23_sfa_5_23m_figure_3.png
specifications,825,,Figure 4—Multiple-Pass Groove Weld Test Assembly,printed,figures/sfa_5_23_sfa_5_23m_figure_4.png
specifications,826,,Figure 5—Two-Run Weld Test Assembly,printed,figures/sfa_5_23_sfa_5_23m_figure_5.png
specifications,827,,Figure 6—Radiographic Standards for Rounded Indications,declared,figures/sfa_5_23_sfa_5_23m_figure_6.png
specifications,864,,Figure 1—Weld Ingot Preparation,printed,figures/sfa_5_25_sfa_5_25m_figure_1.png
specifications,865,,Figure 2—Groove Weld Test Assembly for Mechanical Properties and Soundness,declared,figures/sfa_5_25_sfa_5_25m_figure_2.png
specifications,867,,Figure 3—Radiographic Standards for 6 in [150 mm] Length,declared,figures/sfa_5_25_sfa_5_25m_figure_3.png
specifications,871,,Figure A.1—Classification System,printed,figures/sfa_5_25_sfa_5_25m_figure_a_1.png
specifications,884,,Figure 1—Classification System,declared,figures/sfa_5_26_sfa_5_26m_figure_1.png
specifications,888,,Figure 2—Groove Weld Test Assembly for Mechanical Properties and Soundness,printed,figures/sfa_5_26_sfa_5_26m_figure_2.png
specifications,889,,Figure 3—Weld Ingot,printed,figures/sfa_5_26_sfa_5_26m_figure_3.png
specifications,892,,Figure 4—Radiographic Acceptance Standards,declared,figures/sfa_5_26_sfa_5_26m_figure_4.png
specifications,927,,Figure 1—A5.28/A5.28M Classification System,printed,figures/sfa_5_28_sfa_5_28m_figure_1.png
specifications,928,,Figure 2—Groove Weld Test Assembly for Mechanical Properties and Soundness,declared,figures/sfa_5_28_sfa_5_28m_figure_2.png
specifications,929,,Figure 3—Pad for Chemical Analysis of Weld Metal from Composite Electrodes,printed,figures/sfa_5_28_sfa_5_28m_figure_3.png
specifications,930,,Figure 4—Radiographic Acceptance Standards,declared,figures/sfa_5_28_sfa_5_28m_figure_4.png
specifications,974,,Figure 1—A5.29/A5.29M Classification System,declared,figures/sfa_5_29_sfa_5_29m_figure_1.png
specifications,975,,Figure 2—Test Assembly for Mechanical Properties and Soundness of Weld Metal,declared,figures/sfa_5_29_sfa_5_29m_figure_2.png
specifications,976,,Figure 3—Pad for Chemical Analysis of Deposited Weld Metal,printed,figures/sfa_5_29_sfa_5_29m_figure_3.png
specifications,977,,Figure 4—Fillet Weld Test Assembly and Positions,declared,figures/sfa_5_29_sfa_5_29m_figure_4.png
specifications,978,,Figure 5—Radiographic Standards for Test Assembly in Figure 2,declared,figures/sfa_5_29_sfa_5_29m_figure_5.png
specifications,142,,Figure 1—Groove Weld Test Assembly for Mechanical Properties,declared,figures/sfa_5_2_sfa_5_2m_figure_1.png
